symbol,symbolName,lastPrice,percentChange,percentChange5d,percentChange1m,percentChange1y,opinion,tradeTime,symbolCode,hasOptions,symbolType,raw.symbol,raw.symbolName,raw.lastPrice,raw.percentChange,raw.percentChange5d,raw.percentChange1m,raw.percentChange1y,raw.opinion,raw.tradeTime,raw.symbolCode,raw.hasOptions,raw.symbolType
$DUSA,Dow Jones U.S. Index,"1,551.10",-0.37%,-1.48%,+0.98%,+13.63%,88% Buy,08/21/25,INDEX,No,9,$DUSA,Dow Jones U.S. Index,1551.1,-0.0037253516603508,-0.0148,0.0098,0.1363,88,1755812227,INDEX,False,9
$DUSL,U.S. Large-Cap Index,"1,432.18",-0.41%,-1.72%,+1.19%,+14.06%,88% Buy,08/21/25,INDEX,No,9,$DUSL,U.S. Large-Cap Index,1432.18,-0.0041096176178124,-0.0172,0.0119,0.1406,88,1755812227,INDEX,False,9
$DUSM,U.S. Mid-Cap Index,"2,033.13",-0.36%,-0.88%,+0.38%,+14.58%,88% Buy,08/21/25,INDEX,No,9,$DUSM,U.S. Mid-Cap Index,2033.13,-0.003572793836563,-0.0088,0.0038,0.1458,88,1755812227,INDEX,False,9
$DUSS,U.S. Small-Cap Index,"1,703.86",-0.10%,-0.79%,+0.58%,+8.77%,72% Buy,08/21/25,INDEX,No,9,$DUSS,U.S. Small-Cap Index,1703.86,-0.0010494532876031,-0.0079,0.0058,0.0877,72,1755812227,INDEX,False,9
$DSLW,U.S. Low-Cap Index,"1,910.02",-0.27%,-0.85%,+0.45%,+12.58%,72% Buy,08/21/25,INDEX,No,9,$DSLW,U.S. Low-Cap Index,1910.02,-0.0027307140060044,-0.0085,0.0045,0.1258,72,1755812227,INDEX,False,9
$DSTP,U.S. Top-Cap Index,"1,565.92",-0.40%,-1.55%,+1.02%,+14.15%,88% Buy,08/21/25,INDEX,No,9,$DSTP,U.S. Top-Cap Index,1565.92,-0.0040007378149229,-0.0155,0.0102,0.1415,88,1755812227,INDEX,False,9
$DSBM,U.S. Basic Materials Index,586.75,+0.15%,+0.48%,+0.35%,-0.14%,80% Buy,08/21/25,INDEX,No,9,$DSBM,U.S. Basic Materials Index,586.75,0.0015362294102586,0.0048,0.0035,-0.0014,80,1755812227,INDEX,False,9
$DSNC,U.S. Consumer Goods Index,969.70,-0.50%,-0.44%,+1.08%,+7.96%,88% Buy,08/21/25,INDEX,No,9,$DSNC,U.S. Consumer Goods Index,969.7,-0.0050174945361639,-0.0044,0.0108,0.0796,88,1755812227,INDEX,False,9
$DSCY,U.S. Consumer Services Index,"2,054.93",-0.87%,-1.21%,-0.15%,+20.60%,100% Buy,08/21/25,INDEX,No,9,$DSCY,U.S. Consumer Services Index,2054.93,-0.0086929255408958,-0.0121,-0.0015,0.206,100,1755812227,INDEX,False,9
$DSFN,U.S. Financials Index,"1,109.84",-0.29%,-0.46%,+0.65%,+18.72%,100% Buy,08/21/25,INDEX,No,9,$DSFN,U.S. Financials Index,1109.84,-0.0028570915167742,-0.0046,0.0065,0.1872,100,1755812227,INDEX,False,9
$DSHC,U.S. Health Care Index,"1,456.94",-0.31%,+2.25%,+5.04%,-10.91%,40% Sell,08/21/25,INDEX,No,9,$DSHC,U.S. Health Care Index,1456.94,-0.0030927976133455,0.0225,0.0504,-0.1091,-40,1755812227,INDEX,False,9
$DSIN,U.S. Industrials Index,"1,393.91",-0.20%,-0.69%,-0.10%,+13.60%,88% Buy,08/21/25,INDEX,No,9,$DSIN,U.S. Industrials Index,1393.91,-0.0020261465985079,-0.0069,-0.001,0.136,88,1755812227,INDEX,False,9
$DSTL,U.S. Telecommunications Index,197.00,+0.11%,+2.92%,+7.61%,+28.91%,88% Buy,08/21/25,INDEX,No,9,$DSTL,U.S. Telecommunications Index,197.0,0.0011179997967273,0.0292,0.0761,0.2891,88,1755812227,INDEX,False,9
$DSUT,U.S. Utilities Index,424.37,-0.68%,-0.58%,+1.56%,+14.10%,88% Buy,08/21/25,INDEX,No,9,$DSUT,U.S. Utilities Index,424.37,-0.0067872773656002,-0.0058,0.0156,0.141,88,1755812227,INDEX,False,9
$DSAP,U.S. Automobiles & Parts Index,"1,234.67",-1.08%,-3.92%,-1.45%,+34.53%,40% Buy,08/21/25,INDEX,No,9,$DSAP,U.S. Automobiles & Parts Index,1234.67,-0.010807909242405,-0.0392,-0.0145,0.3453,40,1755812227,INDEX,False,9
$DSBK,U.S. Banks Index,735.92,-0.36%,-0.96%,-0.55%,+28.37%,96% Buy,08/21/25,INDEX,No,9,$DSBK,U.S. Banks Index,735.92,-0.0035745233968804,-0.0096,-0.0055,0.2837,96,1755812227,INDEX,False,9
$DSBS,U.S. Basic Resources Index,404.33,+0.97%,-0.24%,+2.21%,+12.79%,100% Buy,08/21/25,INDEX,No,9,$DSBS,U.S. Basic Resources Index,404.33,0.0097143142543202,-0.0024,0.0221,0.1279,100,1755812227,INDEX,False,9
$DSCH,U.S. Chemicals Index,850.61,-0.19%,+0.80%,-0.42%,-5.02%,32% Buy,08/21/25,INDEX,No,9,$DSCH,U.S. Chemicals Index,850.61,-0.0019126067774336,0.008,-0.0042,-0.0502,32,1755812227,INDEX,False,9
$DSCN,U.S. Construction & Materials Index,"2,030.60",-0.43%,-1.19%,+2.51%,+14.75%,88% Buy,08/21/25,INDEX,No,9,$DSCN,U.S. Construction & Materials Index,2030.6,-0.0042905827837301,-0.0119,0.0251,0.1475,88,1755812227,INDEX,False,9
$DSFI,U.S. Financial Services Index,"2,447.90",-0.24%,-1.19%,+0.75%,+25.79%,100% Buy,08/21/25,INDEX,No,9,$DSFI,U.S. Financial Services Index,2447.9,-0.0023678429806293,-0.0119,0.0075,0.2579,100,1755812227,INDEX,False,9
$DSFB,U.S. Food & Beverage Index,724.87,-0.23%,+1.03%,+2.31%,-8.15%,24% Buy,08/21/25,INDEX,No,9,$DSFB,U.S. Food & Beverage Index,724.87,-0.0022848333860955,0.0103,0.0231,-0.0815,24,1755812227,INDEX,False,9
$DSIG,U.S. Industrial Goods & Services Index,"1,436.97",-0.17%,-0.61%,-0.45%,+13.44%,88% Buy,08/21/25,INDEX,No,9,$DSIG,U.S. Industrial Goods & Services Index,1436.97,-0.0017020744466522,-0.0061,-0.0045,0.1344,88,1755812227,INDEX,False,9
$DSIR,U.S. Insurance Index,"1,363.35",-0.27%,+1.24%,+3.28%,+6.31%,24% Sell,08/21/25,INDEX,No,9,$DSIR,U.S. Insurance Index,1363.35,-0.0026700804681786,0.0124,0.0328,0.0631,-24,1755812227,INDEX,False,9
$DSME,U.S. Media Index,828.00,+0.08%,+0.68%,-5.88%,+5.03%,8% Sell,08/21/25,INDEX,No,9,$DSME,U.S. Media Index,828.0,0.00080983404445621,0.0068,-0.0588,0.0503,-8,1755812227,INDEX,False,9
$DSEN,U.S. Oil & Gas Index,723.20,+0.63%,+0.57%,+1.18%,-1.72%,24% Sell,08/21/25,INDEX,No,9,$DSEN,U.S. Oil & Gas Index,723.2,0.0062893081761008,0.0057,0.0118,-0.0172,-24,1755812227,INDEX,False,9
$DSNG,U.S. Personal & Household Goods Index,"1,068.57",-0.26%,+1.23%,+2.17%,+4.90%,100% Buy,08/21/25,INDEX,No,9,$DSNG,U.S. Personal & Household Goods Index,1068.57,-0.0026041666666666,0.0123,0.0217,0.049,100,1755812227,INDEX,False,9
$DSRE,U.S. Real Estate Index,364.87,-0.36%,+1.33%,-0.19%,-1.48%,24% Buy,08/21/25,INDEX,No,9,$DSRE,U.S. Real Estate Index,364.87,-0.0036318951392681,0.0133,-0.0019,-0.0148,24,1755812227,INDEX,False,9
